pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded2d,percentageShaded3d
"[-3090.447154,-9170.468501,15.776484]",2460,1935,1.077864,0.515928,300.227600,192.712640,50892.687500,51492.460938,29527.603516,30127.607422,21365.080078,21364.648438,0.000000,0.207193,0.704762,0.698413,
"[-3369.526599,-8974.747471,19.777799]",1678,819,0.724303,1.978267,46.791248,307.077821,86456.703125,89368.640625,65091.621094,68004.804688,21365.080078,21358.708984,0.000000,5.139706,0.395238,0.400000,
"[-2603.535448,-8978.951102,15.509038]",1694,3883,2.794445,0.642290,211.641861,119.958694,88961.132813,89451.804688,67596.046875,68086.828125,21365.080078,21364.410156,0.000000,0.569966,0.365079,0.350794,
"[-3371.440401,-8928.574795,19.743425]",1493,811,0.568576,2.113975,27.178198,192.121448,94777.195313,95759.960938,73412.117188,74395.710938,21365.080078,21357.808594,0.000000,6.446377,0.295238,0.296825,
"[-3176.635428,-9484.429247,36.203642]",3716,1590,2.087694,2.019891,309.156097,283.349509,85433.429688,91728.312500,64068.355469,70364.437500,21365.080078,21358.443359,0.000000,5.447563,0.431746,0.403175,
"[-3486.268566,-8914.450597,17.571819]",1436,352,3.651684,0.596047,277.286865,15.578232,72139.460938,59882.593750,50774.382813,38517.757813,21365.080078,21364.503906,0.000000,0.326174,0.468254,0.668254,
"[-2772.218693,-9545.062411,9.079874]",3959,3208,0.912678,1.862218,111.890579,27.279123,95105.664063,94998.757813,73740.585938,73634.171875,21365.080078,21359.435547,0.000000,5.138579,0.284127,0.200000,
"[-3296.869246,-8838.448960,19.416742]",1132,1109,2.066709,1.911423,358.361420,93.108635,94108.937500,89983.937500,72743.859375,68619.546875,21365.080078,21359.142578,0.000000,5.251105,0.311111,0.303175,
"[-3343.371295,-9056.869594,19.628456]",2006,923,0.581782,1.298140,218.663162,349.700980,95735.320313,96193.054688,74370.242188,74828.265625,21365.080078,21362.341797,0.000000,2.457308,0.260317,0.260317,
"[-2858.507693,-8839.087912,21.092041]",1135,2863,0.878685,1.800399,2.648021,310.359627,48818.191406,50419.062500,27453.115234,29056.802734,21365.080078,21359.802734,0.000000,2.457499,0.744444,0.725397,
"[-2834.299767,-9225.519245,14.646401]",2681,2960,3.262835,2.492539,81.901749,97.198467,75000.539063,71695.804688,53635.453125,50333.640625,21365.080078,21354.970703,0.000000,7.185649,0.522222,0.512698,
"[-2609.041828,-9538.202087,8.499013]",3931,3861,0.922962,2.267304,352.227722,113.282022,53041.136719,52274.390625,31676.054688,30913.443359,21365.080078,21356.716797,0.000000,4.227349,0.741270,0.723810,
"[-3336.958377,-8821.432664,18.751796]",1064,949,1.466717,4.082240,167.480453,103.870027,95835.937500,86101.804688,74470.851563,64739.562500,21365.080078,21337.974609,0.000000,24.250763,0.257143,0.269841,
"[-3323.192427,-8976.126262,21.661676]",1683,1004,1.395893,2.204319,28.980553,87.761753,88690.304688,83905.585938,67325.234375,62541.859375,21365.080078,21357.175781,0.000000,6.544117,0.392063,0.403175,
"[-2900.510627,-8702.688514,20.435974]",589,2695,3.870276,3.196652,87.758911,105.821084,84860.460938,80983.648438,63495.386719,59621.589844,21365.080078,21348.457031,0.000000,13.608284,0.280952,0.261905,
"[-3416.297252,-9316.855726,15.141416]",3046,632,3.213434,1.675923,250.394226,151.421033,80972.078125,79602.492188,59607.000000,58238.542969,21365.080078,21360.509766,0.000000,3.450788,0.460317,0.465079,
"[-3109.115125,-9346.213880,13.363907]",3163,1860,1.916583,1.018720,218.379669,281.927369,93928.695313,96391.234375,72563.617188,75026.343750,21365.080078,21363.390625,0.000000,1.488013,0.314286,0.311111,
"[-3155.650749,-8776.638779,20.805856]",885,1674,1.813380,4.936561,76.435928,282.679593,84859.773438,93663.007813,63494.691406,72306.039063,21365.080078,21325.455078,0.000000,31.513304,0.415873,0.425397,
"[-2621.867664,-8877.223247,15.716904]",1287,3809,1.079042,3.865397,65.726753,188.784546,84164.906250,85936.539063,62799.816406,64576.242188,21365.080078,21340.775391,0.000000,19.517675,0.452381,0.434921,
"[-2872.743699,-9249.799414,22.099004]",2778,2806,0.474820,1.282305,166.253204,148.566996,62704.273438,61093.417969,41339.195313,39729.449219,21365.080078,21362.406250,0.000000,1.563703,0.571429,0.571429,
"[-3462.564272,-8820.760083,17.402666]",1062,447,1.428869,4.586782,18.275621,191.876964,64158.777344,76694.406250,42793.699219,55338.750000,21365.080078,21330.867188,0.000000,24.808792,0.561905,0.455556,
"[-2572.847453,-9559.186609,8.618257]",4015,4006,1.645319,1.021132,37.297535,98.010834,90284.562500,90698.679688,68919.476563,69333.828125,21365.080078,21363.384766,0.000000,1.476047,0.384127,0.336508,
"[-2791.726050,-8731.037797,30.042986]",703,3130,4.393659,2.264175,213.813736,251.937605,77978.562500,81848.554688,56613.488281,60485.738281,21365.080078,21356.738281,0.000000,6.074976,0.288889,0.290476,
"[-3485.093424,-9129.272924,18.532259]",2296,357,2.802572,3.026857,9.963106,14.096106,94603.726563,92099.453125,73238.656250,70736.125000,21365.080078,21350.179688,0.000000,13.155897,0.271429,0.280952,
"[-2839.705421,-9315.544193,12.804235]",3041,2938,1.462241,2.843320,339.482422,14.807523,57753.558594,58707.882813,36388.476563,37348.796875,21365.080078,21351.925781,0.000000,7.155253,0.655556,0.647619,
"[-3363.953068,-9031.546925,19.739324]",1905,841,1.162320,4.368444,139.831329,246.391200,88370.070313,96312.664063,67004.984375,74952.843750,21365.080078,21334.046875,0.000000,25.765280,0.387302,0.382540,
