pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded2d,percentageShaded3d
"[-3280.954465,-9004.946352,21.661836]",1798,1173,0.489573,0.930347,295.412476,254.060679,1999511.750000,2017302.875000,1644809.500000,1662598.125000,354702.187500,354678.812500,0.000000,26.402370,0.301201,0.303384,
"[-2992.708913,-9195.522138,17.393711]",2561,2326,4.152253,2.658734,262.323975,11.490353,1192552.875000,1224228.875000,837850.937500,869585.937500,354702.187500,354511.031250,0.000000,132.437393,0.689520,0.675873,
"[-2722.493397,-8763.388936,96.474901]",832,3407,1.352076,1.261052,346.408447,92.206373,2201643.500000,2175336.250000,1846941.500000,1820624.375000,354702.187500,354659.250000,0.000000,53.313286,0.035480,0.056004,
"[-3430.264654,-9098.132430,69.971407]",2171,576,3.464359,2.904897,259.760712,270.694383,2116225.000000,2196078.250000,1761524.625000,1841328.875000,354702.187500,354473.968750,0.000000,274.636963,0.176965,0.158952,
"[-3416.465129,-9426.183744,14.062750]",3483,631,3.399472,2.418997,242.407684,171.315564,1852555.125000,1831716.750000,1497853.250000,1477008.125000,354702.187500,354544.062500,0.000000,163.889664,0.451528,0.458188,
"[-2911.758415,-8817.094518,22.197202]",1047,2650,1.200038,3.462519,324.427155,201.002074,1956691.250000,1996634.125000,1601989.125000,1641897.125000,354702.187500,354378.343750,0.000000,358.823486,0.371834,0.364847,
"[-3080.575961,-9099.141301,18.351820]",2175,1975,1.283528,3.236065,271.824493,309.176514,1878415.125000,1901111.875000,1523714.375000,1546393.500000,354702.187500,354419.218750,0.000000,299.447815,0.384607,0.382751,
"[-3075.707516,-9498.318042,10.943842]",3772,1994,1.775414,0.520162,275.261475,324.999029,2008992.000000,2027288.500000,1654289.125000,1672585.500000,354702.187500,354694.593750,0.000000,8.330036,0.301965,0.293996,
"[-3003.788823,-9052.834109,18.659956]",1990,2282,2.729877,4.256627,44.071327,90.010900,1446404.250000,1437791.125000,1091701.750000,1083174.250000,354702.187500,354212.812500,0.000000,403.608490,0.588865,0.579039,
"[-2913.101434,-8806.904918,22.315036]",1006,2645,2.550283,2.873510,17.390543,358.969259,1998464.250000,1999872.625000,1643761.875000,1645140.875000,354702.187500,354479.218750,0.000000,252.768402,0.326528,0.317576,
"[-3124.962755,-9058.282014,19.231426]",2012,1797,2.708780,4.475823,356.920685,259.093397,1983248.750000,2051129.625000,1628546.875000,1696364.000000,354702.187500,354161.093750,0.000000,605.304138,0.365502,0.364301,
"[-3310.232289,-8959.278112,21.712877]",1616,1056,0.612286,1.756999,4.899093,232.026554,1876798.500000,1904699.625000,1522096.875000,1549991.875000,354702.187500,354618.562500,0.000000,88.700882,0.440175,0.433843,
"[-2647.452184,-9501.849091,15.344349]",3786,3707,0.657701,2.574938,5.826632,58.049722,2180607.500000,2134499.000000,1825905.750000,1779755.625000,354702.187500,354523.125000,0.000000,220.262909,0.156769,0.154258,
